"arm","rep","condition","method","n","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor"
"A",1,"complete","GRAMA",300,300,65.886,"",0.645217087338905,0.617070071295121,1,1,0.19498664353193,0.852321372353894,NA,0.645217087338905,0.617070071295121,1,1
"A",1,"complete","DIABLO",300,300,5.69799999999999,"",-0.0167095537076081,3.18375004097284,0.187382483391401,1,0.448159546294573,0.663887664949085,NA,-0.0167095537076081,3.18375004097284,0.191038348099242,1
"A",1,"complete","MOFA2",300,300,22.255,"",-0.0338761071721715,4.704680566953,0.110428995390048,1,0.678651908277672,0.618539904631084,NA,-0.0338761071721715,4.704680566953,0.110428995390048,1
"A",1,"mcar30","GRAMA",300,300,63.323,"",0.15170251828889,1.54802902904164,0.172334747642524,1,0.0714418738722052,0.72839553214601,NA,0.633177160437889,0.678624252150142,0.853834523340224,1
"A",1,"mcar30","DIABLO",300,145,3.61599999999999,"",0.0297072960852466,2.22229350888302,0.209018013599664,0.483333333333333,0.448931806449579,0.367302939379957,NA,0.0297072960852466,2.22229350888302,0.209018013599664,1
"A",1,"mcar30","MOFA2",300,300,9.982,"",-0.0358908856487078,5.58315239022722,0.0511907388004584,1,0.346437802376995,0.881082200299248,NA,-0.0398200297370405,4.02311000734692,0.129058674484021,1
"A",1,"mcar30","ImputeDIABLO",300,300,1.59400000000002,"",-0.00105877173950325,3.24936688851012,0.0839530830644467,1,0.19706002305303,0.937042333939198,NA,0.0208686348034914,2.9412838035381,0.143114965470102,1
"A",1,"mcar50","GRAMA",300,300,63.265,"",-0.050493022420038,2.13241982491377,0.147186232443434,1,0.04760172174177,0.644391937731196,NA,0.637317166302482,0.645723501206796,1,1
"A",1,"mcar50","DIABLO",300,77,2.80100000000002,"",0.104993063117172,1.6060456996039,0.385784928861589,0.256666666666667,0.351835891755436,4.35149534107114,NA,0.104993063117172,1.6060456996039,0.45434966686748,1
"A",1,"mcar50","MOFA2",300,300,13.838,"",-0.0493666777290334,13.9578677803785,0.0287964904818023,1,0.231755927855385,0.22406109951226,NA,-0.0577794147448509,9.2327962218473,0.190890767821802,1
"A",1,"mcar50","ImputeDIABLO",300,300,1.53100000000001,"",-0.0312510579704564,3.19237069497489,0.129718588770608,1,0.208561791694535,0.722441918244241,NA,-0.0244101807752384,2.5652408465225,0.207372102503281,1
"A",1,"mar","GRAMA",300,300,64.087,"",0.230260244117849,1.47434487352419,0.22509017675727,1,0.0651429697883732,0.776067905543668,NA,0.798905690599886,0.372340912098678,1,1
"A",1,"mar","DIABLO",300,162,3.77299999999997,"",0.0469988807349932,2.27333118076741,0.200304023993366,0.54,0.454724779116813,1.34570788972235,NA,0.0469988807349932,2.27333118076741,0.200304023993366,1
"A",1,"mar","MOFA2",300,300,9.01999999999998,"",-0.0507788400470052,5.88242591787742,0.0537015798743072,1,0.399944229458164,1.82474957552324,NA,-0.0460262628773642,3.73830342669875,0.121882786605484,1
"A",1,"mar","ImputeDIABLO",300,300,1.62200000000001,"",0.00611368936321572,3.30558636842035,0.129977051365622,1,0.116212936973851,1.24891999192811,NA,0.0401281284434586,2.65298354885974,0.15929175123284,1
"A",2,"complete","GRAMA",300,300,74.361,"",0.636932901538488,0.60021885845113,1,1,0.226947029528304,1.13586264283224,NA,0.636932901538488,0.60021885845113,1,1
"A",2,"complete","DIABLO",300,300,6.26000000000001,"",-0.0110751036590348,3.32168722488943,0.196660360199612,1,0.485456287278868,1.37586818040553,NA,-0.0110751036590348,3.32168722488943,0.196660360199612,1
"A",2,"complete","MOFA2",300,300,23.708,"",-0.0414618342054139,5.99041739180425,0.172225430083127,1,0.65906939449602,0.332720256063048,NA,-0.0414618342054139,5.99041739180425,0.169926248287753,1
"A",2,"mcar30","GRAMA",300,300,72.28,"",0.136320715607703,1.51479036571898,0.164714016975695,1,0.0716958806269916,1.26494691686544,NA,0.619730313439222,0.647469547994801,0.85731290156986,1
"A",2,"mcar30","DIABLO",300,149,3.96700000000001,"",0.00456821014923046,2.92614606853354,0.263580388858235,0.496666666666667,0.465915166053547,2.9655547489307,NA,0.00456821014923046,2.92614606853354,0.263580388858235,1
"A",2,"mcar30","MOFA2",300,300,10.008,"",-0.0299264504087683,7.35864110204957,0.121069443991999,1,0.365619802921821,0.785634797744832,NA,-0.0195957090196203,4.59183020229199,0.155204322550782,1
"A",2,"mcar30","ImputeDIABLO",300,300,1.71400000000003,"",0.0226177505407289,2.90896146198175,0.0954160091435108,1,0.271887185064089,1.40437838227892,NA,0.0389186067360403,2.58680960606783,0.135446706827369,1
"A",2,"mcar50","GRAMA",300,300,70.086,"",-0.0269930781448488,2.03563249354286,0.187281681339532,1,0.0478088007689382,1.44981394384403,NA,0.704654521659734,0.569569528445126,1,1
"A",2,"mcar50","DIABLO",300,78,2.95300000000003,"",0.156683507842854,1.5275767163464,0.380168607390673,0.26,0.349810377533828,3.26805731568629,NA,0.156683507842854,1.5275767163464,0.37626786826884,1
"A",2,"mcar50","MOFA2",300,300,10.726,"",-0.0447618634681896,9.52007086750639,0.0534793153981897,1,0.268565367052586,1.52765680916839,NA,-0.0634316454040679,5.00419653216936,0.144594356825725,1
"A",2,"mcar50","ImputeDIABLO",300,300,1.70999999999998,"",-0.0201261893161726,2.65029240043369,0.113366829649537,1,0.210066885270575,1.7282063537617,NA,0.0409345075836704,2.04148383962446,0.325213265434821,1
"A",2,"mar","GRAMA",300,300,71.13,"",0.0979183033960708,1.74185441965331,0.43404748662077,1,0.102132261954527,1.01201993799268,NA,0.582090811494921,0.714296483049806,0.976479769261153,1
"A",2,"mar","DIABLO",300,143,3.91800000000001,"",0.0659867796732437,1.92656474901642,0.287144229085841,0.476666666666667,0.426396327594956,2.09870794927941,NA,0.0659867796732437,1.92656474901642,0.287144229085841,1
"A",2,"mar","MOFA2",300,300,16.055,"",-0.0584254094909638,7.20871565229376,0.0846451330866116,1,0.303479453731255,1.57573961837029,NA,-0.0302920876018247,3.60024092331666,0.162827802580502,1
"A",2,"mar","ImputeDIABLO",300,300,1.678,"",-0.0442861347882752,2.82183136615934,0.151169960645239,1,0.245123558781834,1.75430214294446,NA,-0.0358323908110878,2.38427608259911,0.202445513716939,1
"A",3,"complete","GRAMA",300,300,75.336,"",0.557653798225824,0.766986520841468,1,1,0.220135614906199,0.851008562507923,NA,0.557653798225824,0.766986520841468,1,1
"A",3,"complete","DIABLO",300,300,6.491,"",-0.0125526123285928,3.00887922323774,0.164587731800997,1,0.385417400978358,1.01344320782409,NA,-0.0125526123285928,3.00887922323774,0.164587731800997,1
"A",3,"complete","MOFA2",300,300,27.959,"",-0.040084789005897,7.59851863590141,0.0328773984295624,1,0.641736007795853,0.480560908369525,NA,-0.040084789005897,7.59851863590141,0.0328773984295624,1
"A",3,"mcar30","GRAMA",300,300,73.608,"",0.163863895685783,1.58889183603466,0.330643269316879,1,0.0866669059574503,1.17880291132391,NA,0.71729362700754,0.534068731675381,1,1
"A",3,"mcar30","DIABLO",300,143,3.90100000000001,"",0.0549391328565888,2.06778120317526,0.284139457937507,0.476666666666667,0.458224510162562,1.07750609540543,NA,0.0549391328565888,2.06778120317526,0.284139457937507,1
"A",3,"mcar30","MOFA2",300,300,22.32,"",-0.042508729668401,6.94739114004251,0.0468778954045887,1,0.320521719752076,1.05135135185186,NA,-0.06261021046249,6.24167980898478,0.101068080967912,1
"A",3,"mcar30","ImputeDIABLO",300,300,1.93600000000001,"",-0.0515398414389323,3.21071858221081,0.137841686811591,1,0.238527747122995,1.4106158077819,NA,-0.0376244766116837,2.60091341340498,0.266962759145467,1
"A",3,"mcar50","GRAMA",300,300,72.166,"",0.0144779743681847,2.3051354969255,0.215896654870907,1,0.0642674696110192,0.983622707155158,NA,0.739711270293627,0.60552273744434,1,1
"A",3,"mcar50","DIABLO",300,73,2.86899999999997,"",0.0910040734910221,1.89539742738207,0.333380551322068,0.243333333333333,0.413847612887719,4.57461627869773,NA,0.0910040734910221,1.89539742738207,0.266250153917462,1
"A",3,"mcar50","MOFA2",300,300,22.181,"",-0.0379025498062368,11.4447840746457,0.0175112473046313,1,0.264880576417695,0.594184340393204,NA,-0.0853363099298257,5.30409144272078,0.0999585356207113,1
"A",3,"mcar50","ImputeDIABLO",300,300,1.86799999999999,"",-0.06588749475128,3.03131071350744,0.110976885611626,1,0.208601934084646,0.557597024372555,NA,-0.0772644434091326,2.40213938948876,0.143734568789377,1
"A",3,"mar","GRAMA",300,300,73.1,"",0.19801272803234,1.59742324035997,0.486810889253075,1,0.0918873127636678,1.12103128542243,NA,0.721183105463097,0.463592296415719,1,1
"A",3,"mar","DIABLO",300,157,3.988,"",0.0302584559428347,2.44836673204762,0.231973921905269,0.523333333333333,0.416241809996792,1.31020651884468,NA,0.0302584559428347,2.44836673204762,0.231973921905269,1
"A",3,"mar","MOFA2",300,300,13.935,"",-0.0280044858457663,7.4171880680368,0.0387016399455914,1,0.381474248882598,1.02325403137187,NA,-0.0342533685333504,4.84522463471493,0.0658077080588693,1
"A",3,"mar","ImputeDIABLO",300,300,1.84299999999996,"",-0.000378780801127951,3.03391573321306,0.132167463270665,1,0.132263557550218,1.49231352764162,NA,0.0392124917105221,2.49243722053175,0.219454006532565,1
"A",4,"complete","GRAMA",300,300,71.653,"",0.81371153248531,0.415123093004569,1,1,0.108894409901205,2.07456709149075,NA,0.81371153248531,0.415123093004569,1,1
"A",4,"complete","DIABLO",300,300,6.254,"",-0.0139630634358415,2.75379573650181,0.22045249947349,1,0.411640354857799,1.36522527764707,NA,-0.0139630634358415,2.75379573650181,0.22045249947349,1
"A",4,"complete","MOFA2",300,300,20.566,"",-0.0346381314343895,6.43063393658258,0.0598152451421131,1,0.673620268768182,0.550192241012357,NA,-0.0346381314343895,6.43063393658258,0.0598152451421131,1
"A",4,"mcar30","GRAMA",300,300,70.118,"",0.184823285175725,1.56060673373626,0.315429309100801,1,0.0561886449790119,1.53266719561942,NA,0.813044819714691,0.449643980820387,1,1
"A",4,"mcar30","DIABLO",300,147,3.922,"",0.0283838454150975,2.09875344304135,0.232636384644029,0.49,0.392956990122151,1.89399244821944,NA,0.0283838454150975,2.09875344304135,0.232636384644029,1
"A",4,"mcar30","MOFA2",300,300,7.49600000000001,"",-0.0462773555016327,9.58491744740073,0.025544763804488,1,0.32832401146546,1.17544441624076,NA,-0.0552951428735189,5.4285794133465,0.0983298205293197,1
"A",4,"mcar30","ImputeDIABLO",300,300,1.69999999999999,"",-0.0116431404562911,3.15633555701447,0.0947495734178231,1,0.191964610991777,1.80470116350549,NA,-0.00725240152523674,2.76657458975048,0.166015831615445,1
"A",4,"mcar50","GRAMA",300,300,68.539,"",-0.0430352570546077,2.24534137955511,0.193723715485884,1,0.0464056636099453,1.71222568076029,NA,0.696105753786312,0.614661017025696,1,1
"A",4,"mcar50","DIABLO",300,66,2.68100000000001,"",0.130819782826513,1.8461877185879,0.312289241398993,0.22,0.493657240738533,4.01561292324676,NA,0.130819782826513,1.8461877185879,0.312289241398993,1
"A",4,"mcar50","MOFA2",300,300,8.51600000000002,"",-0.0388577769931307,8.46972014211175,0.0377735007568905,1,0.260415084729025,1.62096983498585,NA,-0.0457227659165757,8.41885731787401,0.158160854671206,1
"A",4,"mcar50","ImputeDIABLO",300,300,1.63599999999997,"",-0.0200791439793817,3.07465444514732,0.0879459528313907,1,0.218725892931635,1.5158317373109,NA,0.042945677026234,1.93881868042553,0.324701963987937,1
"A",4,"mar","GRAMA",300,300,69.26,"",0.107604037637864,1.54607310692504,0.339890533203161,1,0.063828046539415,1.88181884088502,NA,0.610044995203193,0.65997016598588,0.881036777730945,1
"A",4,"mar","DIABLO",300,145,3.97400000000005,"",0.0592283984773214,2.27156968534551,0.155629599847885,0.483333333333333,0.324116377446653,1.56932533830352,NA,0.0592283984773214,2.27156968534551,0.155629599847885,1
"A",4,"mar","MOFA2",300,300,9.88099999999997,"",-0.0609527930674727,9.6437366789534,0.0368336594289185,1,0.245498156279854,1.90239804305742,NA,-0.0262691763544841,7.49104308433598,0.0441065192447533,1
"A",4,"mar","ImputeDIABLO",300,300,1.73199999999997,"",-0.025211609200108,3.25462207295774,0.0764411675787234,1,0.186376845806872,1.63093308364578,NA,0.00117507591697131,2.61920400789171,0.10160959528569,1
"A",5,"complete","GRAMA",300,300,71.094,"",0.63132176645405,0.671126961641378,1,1,0.190635243804684,0.660803267262893,NA,0.63132176645405,0.671126961641378,1,1
"A",5,"complete","DIABLO",300,300,6.30800000000001,"",-0.0130471032716842,3.05687654616966,0.104526398326012,1,0.40467168396685,0.560453361750571,NA,-0.0130471032716842,3.05687654616966,0.104526398326012,1
"A",5,"complete","MOFA2",300,300,20.462,"",-0.0406613771652831,8.08790288960003,0.0451882688874083,1,0.689995726833251,0.232241592793536,NA,-0.0406613771652831,8.08790288960003,0.0451882688874083,1
"A",5,"mcar30","GRAMA",300,300,68.303,"",0.134447721101089,1.54723489422873,0.336886570002382,1,0.0822226404569096,0.339072483857079,NA,0.608544495646323,0.651896260220361,0.850368129464236,1
"A",5,"mcar30","DIABLO",300,140,3.92399999999998,"",0.0178474830199411,2.41331658582547,0.28302635369959,0.466666666666667,0.395603608037892,2.18548259604416,NA,0.0178474830199411,2.41331658582547,0.28302635369959,1
"A",5,"mcar30","MOFA2",300,300,10.491,"",-0.0403902968282168,5.51758564808589,0.0617767047313423,1,0.298816250644615,1.12172149874471,NA,-0.0437814596711368,4.17839347245229,0.113519992789562,1
"A",5,"mcar30","ImputeDIABLO",300,300,1.68699999999998,"",-0.0091877562738937,3.56274927996889,0.0473205485127798,1,0.183681022801096,0.841167344049581,NA,-0.0300444019456268,3.10095950247711,0.066722454059796,1
"A",5,"mcar50","GRAMA",300,300,67.53,"",-0.00460919300019005,2.17198054420425,0.228810956361815,1,0.0479105727933405,0.903687921514907,NA,0.77581563172056,0.546720652727154,1,1
"A",5,"mcar50","DIABLO",300,75,2.86799999999999,"",0.111884328283599,1.83798076250852,0.30997693042498,0.25,0.400571545606945,2.25769300469957,NA,0.111884328283599,1.83798076250852,0.30997693042498,1
"A",5,"mcar50","MOFA2",300,300,16.629,"",-0.0427383869552934,10.5485088214454,0.0211123485843828,1,0.250377486444636,1.81992179722028,NA,-0.0484561155963242,4.67349842910713,0.064711267872881,1
"A",5,"mcar50","ImputeDIABLO",300,300,1.86699999999996,"",0.00405061310591184,3.33888617046365,0.102383160158582,1,0.174457421000194,0.675683121886112,NA,-0.0083050975171532,3.63869822546964,0.0819536769638896,1
"A",5,"mar","GRAMA",300,300,69.649,"",0.119719730405219,1.65805059107102,0.184345293807999,1,0.0666853517690165,1.14345182385497,NA,0.606417780738165,0.678488086155757,0.854968609994155,1
"A",5,"mar","DIABLO",300,148,3.96100000000001,"",0.0342788339624243,2.25512064987595,0.17342969523797,0.493333333333333,0.434406700428319,1.52121751282766,NA,0.0342788339624243,2.25512064987595,0.17342969523797,1
"A",5,"mar","MOFA2",300,300,10.062,"",-0.0677625026970105,6.47523057925715,0.0549386244222157,1,0.375845593473352,1.20347144539176,NA,-0.0263484317253068,6.0941576717516,0.0579554080963198,1
"A",5,"mar","ImputeDIABLO",300,300,1.85599999999999,"",0.00222820224964625,3.02496033731081,0.0865812020733371,1,0.121657603609802,0.450428282740592,NA,-0.00381437136497328,2.9971507493332,0.123043259423845,1
"A",6,"complete","GRAMA",300,300,67.576,"",0.695826165687731,0.582127227949643,1,1,0.18859232252889,1.66222353250763,NA,0.695826165687731,0.582127227949643,1,1
"A",6,"complete","DIABLO",300,300,5.86799999999999,"",-0.0115196343437674,3.0383349912119,0.186416240126863,1,0.428300453876485,0.885885207210118,NA,-0.0115196343437674,3.0383349912119,0.186416240126863,1
"A",6,"complete","MOFA2",300,300,21.191,"",-0.0311172241452439,6.92028095826406,0.0738244921475515,1,0.668629701815673,0.606050715469563,NA,-0.0311172241452439,6.92028095826406,0.0738244921475515,1
"A",6,"mcar30","GRAMA",300,300,65.706,"",0.140167803597074,1.51177334378382,0.335044776236486,1,0.0858168985297104,1.79887721939424,NA,0.576384512275526,0.710386910646678,0.820119285666867,1
"A",6,"mcar30","DIABLO",300,149,3.71900000000002,"",0.0215360219651128,2.48353748654372,0.153028308572546,0.496666666666667,0.506065340552694,2.08292669220325,NA,0.0215360219651128,2.48353748654372,0.153028308572546,1
"A",6,"mcar30","MOFA2",300,300,15.778,"",-0.0502412056081182,6.91581371502961,0.0619101198227919,1,0.336500843814015,1.39776213670126,NA,-0.0472504667560309,5.23052489973415,0.0798130104383019,1
"A",6,"mcar30","ImputeDIABLO",300,300,1.619,"",0.00259278136954797,3.18271644147153,0.0727025968291244,1,0.198969634214595,1.32708126318181,NA,-0.00910944620715681,3.04642751190202,0.103980738591557,1
"A",6,"mcar50","GRAMA",300,300,64.398,"",-0.00858338256213528,2.17876242785466,0.122558041626537,1,0.0542332085291891,2.38190598259293,NA,0.729879675340429,0.584103061496586,1,1
"A",6,"mcar50","DIABLO",300,74,2.74700000000001,"",0.078962570126629,1.93134653309243,0.316323102209065,0.246666666666667,0.460448733476814,5.95939385807983,NA,0.078962570126629,1.93134653309243,0.316323102209065,1
"A",6,"mcar50","MOFA2",300,300,10.201,"",-0.0304779401018757,8.22627003687189,0.0245421142431826,1,0.301114939979859,1.75276082142239,NA,-0.0454173085670848,9.46113545589182,0.0707865622567604,1
"A",6,"mcar50","ImputeDIABLO",300,300,1.62099999999998,"",-0.0317580393697967,3.72904477241552,0.0478605882738608,1,0.149399321745552,1.23462813072512,NA,-0.0271209751652135,3.55288029570664,0.0984237116415289,1
"A",6,"mar","GRAMA",300,300,66.137,"",0.266369354786079,1.54920911806366,0.389085210591758,1,0.0968848301113605,1.77211239066063,NA,0.769513940718067,0.431518942700253,1,1
"A",6,"mar","DIABLO",300,164,3.90899999999999,"",0.0533703781708542,2.37786581646217,0.173901869993939,0.546666666666667,0.475606477672429,2.43535436041373,NA,0.0533703781708542,2.37786581646217,0.173901869993939,1
"A",6,"mar","MOFA2",300,300,9.661,"",-0.0270005802169169,7.98665731372721,0.0758484932634723,1,0.418028870763346,1.50239024332805,NA,-0.0186089305300656,4.13615684613427,0.101831197780781,1
"A",6,"mar","ImputeDIABLO",300,300,1.82100000000003,"",-0.0115521319802842,3.69547227272097,0.053471003423816,1,0.248857693974627,1.84629346804707,NA,0.00831145507308183,3.41634890595443,0.0661238636546372,1
"A",7,"complete","GRAMA",300,300,66.666,"",0.61353266524122,0.652321857547225,1,1,0.191791174836643,1.76741230384705,NA,0.61353266524122,0.652321857547225,1,1
"A",7,"complete","DIABLO",300,300,5.59700000000001,"",0.00111794828231352,3.30046797376691,0.158954137237495,1,0.46884964599041,1.98553332470747,NA,0.00111794828231352,3.30046797376691,0.158954137237495,1
"A",7,"complete","MOFA2",300,300,19.64,"",-0.0574768833239398,10.2249920654908,0.12327303386915,1,0.612697229734055,1.01983420875549,NA,-0.0574768833239398,10.2249920654908,0.124167496430417,1
"A",7,"mcar30","GRAMA",300,300,64.417,"",0.177058917898218,1.60302992263312,0.34627618028789,1,0.0946432088220825,1.52555680108831,NA,0.710507311742569,0.519263718030431,1,1
"A",7,"mcar30","DIABLO",300,145,3.59700000000001,"",0.0243733618438957,2.39257140553736,0.178816368322895,0.483333333333333,0.44299255395277,0.874385760681598,NA,0.0243733618438957,2.39257140553736,0.178816368322895,1
"A",7,"mcar30","MOFA2",300,300,10.373,"",-0.0417293710536344,8.73462332094108,0.0462184305671264,1,0.315053970291152,2.10189862250481,NA,-0.0653578168845449,5.83937367412702,0.136857403709754,1
"A",7,"mcar30","ImputeDIABLO",300,300,1.518,"",-0.0455527978015327,2.87339562795248,0.113247792246889,1,0.290904675259893,1.18554734640565,NA,-0.0207665320695442,2.43442705700713,0.162587217273594,1
"A",7,"mcar50","GRAMA",300,300,62.97,"",-0.0457793069457387,2.2112165887458,0.184190999795722,1,0.0555579794283131,1.92921387277316,NA,0.789499530389296,0.512163136878995,1,1
"A",7,"mcar50","DIABLO",300,65,2.58000000000001,"",0.122356036899325,1.76012908899125,0.353693891170904,0.216666666666667,0.408130037748293,3.4275108299054,NA,0.122356036899325,1.76012908899125,0.353693891170904,1
"A",7,"mcar50","MOFA2",300,300,10.16,"",-0.0331200990967497,13.421238772017,0.0256621279874036,1,0.26574672700512,1.38815096672881,NA,-0.043560231170731,4.58469688656576,0.133453387253107,1
"A",7,"mcar50","ImputeDIABLO",300,300,1.62899999999999,"",0.00503528464755612,2.98913420017594,0.10280762586728,1,0.170090654818014,1.55453548184362,NA,0.0529664146359411,2.36054748863747,0.237582382444465,1
"A",7,"mar","GRAMA",300,300,64.781,"",0.225410165173604,1.60286460645073,0.370449689606796,1,0.0700602711659329,1.03732231059273,NA,0.750212595308572,0.426882989534181,1,1
"A",7,"mar","DIABLO",300,157,3.74200000000002,"",0.0768583984853408,1.94473752181465,0.278478550954173,0.523333333333333,0.336801807392886,2.30516425454356,NA,0.0768583984853408,1.94473752181465,0.283366402762406,1
"A",7,"mar","MOFA2",300,300,9.67099999999999,"",-0.0616037758420187,7.62694901659562,0.0364291694440431,1,0.326287218381253,1.85118058570979,NA,-0.0372646571467905,5.06856835888606,0.0677793529433277,1
"A",7,"mar","ImputeDIABLO",300,300,1.57599999999996,"",-0.013668296819356,3.30346107300723,0.0447339214944134,1,0.172766940120997,0.695505838465658,NA,0.0248760469522125,2.82074077866875,0.10752675335529,1
"A",8,"complete","GRAMA",300,300,68.073,"",0.305196655098559,1.16184908177097,0.627717539967348,1,0.204244785519637,2.15285705591109,NA,0.305196655098559,1.16184908177097,0.627717539967348,1
"A",8,"complete","DIABLO",300,300,5.634,"",0.00448416093770862,2.6949774620514,0.165240587529541,1,0.354124520245409,1.56460476892176,NA,0.00448416093770862,2.6949774620514,0.165240587529541,1
"A",8,"complete","MOFA2",300,300,19.679,"",-0.0346432108838918,7.37803302698997,0.0317683589577785,1,0.694149386494594,0.483686999155049,NA,-0.0346432108838918,7.37803302698997,0.0317683589577785,1
"A",8,"mcar30","GRAMA",300,300,65.407,"",0.178114659482985,1.52639282530266,0.333614226294651,1,0.0826394045406714,1.64285642241571,NA,0.745556675273875,0.450843904545967,1,1
"A",8,"mcar30","DIABLO",300,142,3.441,"",0.0379334820180347,2.27260031503667,0.227724693570604,0.473333333333333,0.46860760410538,3.67677753529561,NA,0.0379334820180347,2.27260031503667,0.233918501371928,1
"A",8,"mcar30","MOFA2",300,300,11.375,"",-0.0529851501157226,6.92276705268901,0.0739974910249968,1,0.300836656712272,1.56794370101316,NA,-0.0511618181643542,3.47429659661495,0.164657174500935,1
"A",8,"mcar30","ImputeDIABLO",300,300,1.61699999999999,"",-0.00475930874094256,2.80774751542799,0.118328279677627,1,0.246277539308089,1.53345302958567,NA,0.0209629250602095,2.43443142279483,0.163844696432911,1
"A",8,"mcar50","GRAMA",300,300,64.097,"",0.0199356478394653,2.11848162524751,0.174762738693965,1,0.0723034081688572,2.36610528075017,NA,0.657944181487125,0.670779169728202,1,1
"A",8,"mcar50","DIABLO",300,79,2.81200000000001,"",0.119339914067075,1.71718167483465,0.500164684264361,0.263333333333333,0.418223445539704,4.58479702561736,NA,0.119339914067075,1.71718167483465,0.500164684264361,1
"A",8,"mcar50","MOFA2",300,300,13.325,"",-0.0323251760167187,13.6283999601355,0.0419523378262185,1,0.272484298230535,1.12175892952991,NA,-0.0718291166507105,5.11382039976151,0.106328372843483,1
"A",8,"mcar50","ImputeDIABLO",300,300,1.44600000000003,"",-0.0275811246434404,3.22027469776083,0.103393143536324,1,0.265390749027036,1.96646265062016,NA,0.0344970847311771,2.35324357120644,0.253966488094795,1
"A",8,"mar","GRAMA",300,300,65.745,"",0.13915730634822,1.49119575017422,0.291336664935588,1,0.0909869633288153,2.15994195908218,NA,0.572011469397002,0.736240899883164,1,1
"A",8,"mar","DIABLO",300,160,3.75100000000003,"",0.0354947918620142,2.47580667324929,0.180759233042833,0.533333333333333,0.366440268211769,1.03609526555371,NA,0.0354947918620142,2.47580667324929,0.180759233042833,1
"A",8,"mar","MOFA2",300,300,9.214,"",-0.0433807567164434,7.90746250201027,0.0334910681372968,1,0.350110275362495,1.19059799476175,NA,-0.0429009678638372,7.06524394743418,0.0641414747721158,1
"A",8,"mar","ImputeDIABLO",300,300,1.52299999999997,"",-0.0307525631521408,3.54962182329596,0.0607934542501795,1,0.228893975041243,2.04763700536202,NA,-0.0199596443732227,3.21939365618538,0.0822908832376181,1
"A",9,"complete","GRAMA",300,300,73.384,"",0.600601749622018,0.71171346825311,1,1,0.227116237719944,1.16189422482522,NA,0.600601749622018,0.71171346825311,1,1
"A",9,"complete","DIABLO",300,300,5.733,"",0.00501000381218511,2.81139203641562,0.167002811066225,1,0.423985675485789,0.668331008218581,NA,0.00501000381218511,2.81139203641562,0.167002811066225,1
"A",9,"complete","MOFA2",300,300,18.37,"",-0.0672719824815138,8.95919023510022,0.116781084220349,1,0.659744601012545,0.209768155098385,NA,-0.0672719824815138,8.95919023510022,0.0761325633400795,1
"A",9,"mcar30","GRAMA",300,300,68.945,"",0.168731942624461,1.65542926396511,0.324276738612516,1,0.0802704322451195,1.36770386396206,NA,0.741980334466472,0.536751697660601,1,1
