"rep","arm","condition","method","sil","ber","nmi","n_used","ess","elapsed","error"
1,"D","complete","DenseDIABLO",0.408151546033632,0.75,0.955518676999716,300,1,5.873,NA
1,"D","mcar50","DenseDIABLO",0.462284967533662,0.819128787878788,0.963244580176734,82,0.273333333333333,2.504,NA
2,"D","complete","DenseDIABLO",0.383457620403266,0.76,0.965039972956862,300,1,5.992,NA
2,"D","mcar50","DenseDIABLO",0.449574509856448,0.806891025641026,1,86,0.286666666666667,2.796,NA
3,"D","complete","DenseDIABLO",0.414506582464712,0.75,0.96218476856195,300,1,6.344,NA
3,"D","mcar50","DenseDIABLO",0.446970556200076,0.75,1,81,0.27,2.417,NA
4,"D","complete","DenseDIABLO",0.400503693332429,0.75,0.947522923066977,300,1,6.367,NA
4,"D","mcar50","DenseDIABLO",0.442286030825504,0.734778121775026,0.962545631844961,76,0.253333333333333,2.389,NA
5,"D","complete","DenseDIABLO",0.425808841692275,0.76,0.939500054439082,300,1,6.092,NA
5,"D","mcar50","DenseDIABLO",0.461137436825158,0.817045454545455,1,74,0.246666666666667,2.34,NA
6,"D","complete","DenseDIABLO",0.400708234196392,0.756666666666667,0.956827312813447,300,1,6.161,NA
6,"D","mcar50","DenseDIABLO",0.436146386726942,0.764705882352941,1,65,0.216666666666667,2.365,NA
7,"D","complete","DenseDIABLO",0.403986805098412,0.766666666666667,0.952253217607859,300,1,6.176,NA
7,"D","mcar50","DenseDIABLO",0.406194932167168,0.835858585858586,1,84,0.28,2.436,NA
8,"D","complete","DenseDIABLO",0.382505531262133,0.75,0.929998858253271,300,1,5.924,NA
8,"D","mcar50","DenseDIABLO",0.389513931882499,0.787946428571429,1,68,0.226666666666667,2.364,NA
9,"D","complete","DenseDIABLO",0.390867976120042,0.75,0.924902145658804,300,1,5.957,NA
9,"D","mcar50","DenseDIABLO",0.421276001347174,0.832017543859649,0.964054356182091,83,0.276666666666667,2.587,NA
10,"D","complete","DenseDIABLO",0.386009983134017,0.75,0.932147431069036,300,1,6.091,NA
10,"D","mcar50","DenseDIABLO",0.422307406228944,0.790909090909091,1,77,0.256666666666667,2.411,NA
11,"D","complete","DenseDIABLO",0.396701368871338,0.75,0.880996124230527,300,1,5.748,NA
11,"D","mcar50","DenseDIABLO",0.453739377781554,0.840803932909196,1,62,0.206666666666667,2.144,NA
12,"D","complete","DenseDIABLO",0.390337929152992,0.766666666666667,0.933410557467551,300,1,5.586,NA
12,"D","mcar50","DenseDIABLO",0.434142962153715,0.787946428571429,1,70,0.233333333333333,2.271,NA
13,"D","complete","DenseDIABLO",0.377586661361762,0.75,0.94939489047627,300,1,5.612,NA
13,"D","mcar50","DenseDIABLO",0.441569299512654,0.75,1,71,0.236666666666667,1.652,NA
14,"D","complete","DenseDIABLO",0.394435432308473,0.79,0.921913868600669,300,1,5.485,NA
14,"D","mcar50","DenseDIABLO",0.441308499254023,0.777777777777778,0.964567192115038,84,0.28,1.889,NA
15,"D","complete","DenseDIABLO",0.403461814902669,0.75,0.913887443627234,300,1,5.628,NA
15,"D","mcar50","DenseDIABLO",0.443392864329093,0.838888888888889,1,90,0.3,2.623,NA
16,"D","complete","DenseDIABLO",0.387244086450868,0.75,0.86853132993561,300,1,5.752,NA
16,"D","mcar50","DenseDIABLO",0.416624896987314,0.775,1,79,0.263333333333333,2.205,NA
17,"D","complete","DenseDIABLO",0.394964530754844,0.75,0.900706613185236,300,1,5.554,NA
17,"D","mcar50","DenseDIABLO",0.437869831906071,0.813492063492063,1,70,0.233333333333333,2.173,NA
18,"D","complete","DenseDIABLO",0.383148639735672,0.75,0.887033708761104,300,1,5.808,NA
