"arm","condition","method","n_reps","sil_mean","sil_sd","nmi_mean","nmi_sd","ber_mean","ber_sd","ess_mean","elapsed_mean"
"A","complete","IntegrAO",100,-0.0490090034706387,0.00983927042992343,0.0120130305953577,0.00507320434026051,0.691533333333333,0.0374448191091168,1,102.38072
"A","mar","IntegrAO",100,-0.0427611109590612,0.00837395523105507,0.0201619583780576,0.0102692621211367,0.711133333333333,0.033168684269377,1,71.11153
"A","mcar30","IntegrAO",100,-0.0433230181292502,0.00897085296798227,0.0166455688770177,0.00815358344588148,0.71,0.0340033668366672,1,70.53762
"A","mcar50","IntegrAO",100,-0.043308835199752,0.00912163686249253,0.0194086140179953,0.00897187940346134,0.716433333333333,0.0313456348085156,1,64.93183
"B","complete","IntegrAO",100,-0.0470300253345988,0.00959663634101643,0.0134135836530306,0.00675135880766146,0.7107,0.0352426095284509,1,113.85586
"B","mar","IntegrAO",100,-0.0495382782795797,0.00689563579158611,0.0149287408930306,0.00701772109937541,0.716133333333333,0.03906517044744,1,84.9742
"B","mcar30","IntegrAO",100,-0.04159299494325,0.00691138458281616,0.0147331439946533,0.00698037123943381,0.7194,0.0367305229084928,1,82.14018
"B","mcar50","IntegrAO",100,-0.0400079531711001,0.00632441720635785,0.0143361486294485,0.00720429077606738,0.7289,0.0347317926204616,1,73.15604
"C","complete","IntegrAO",100,0.991256688245776,0.00101327823987271,1,0,0,0,1,88.17477
"C","mar","IntegrAO",100,0.973376373615326,0.0284069428024125,0.998320820887518,0.0167917911248236,0,0,0.9511,78.58541
"C","mcar30","IntegrAO",100,0.976759694538594,0.00393183784974928,0.998024384863592,0.0197561513640808,0,0,0.9726,76.36592
"C","mcar50","IntegrAO",100,0.95631039769204,0.0412815955230773,0.996779487519415,0.0234051854849598,0.00081815188762072,0.00781352918637489,0.876566666666667,67.45484
"D","complete","IntegrAO",100,0.515222628220463,0.0819017159158018,0.781917575164441,0.0605194643790903,0.0686666666666667,0.033106975539985,1,69.66887
"D","mar","IntegrAO",100,0.464007003946244,0.0559042967952735,0.77744996903392,0.0467029043138541,0.103205403784666,0.0456346204429042,0.879,64.05652
"D","mcar30","IntegrAO",100,0.472508924769903,0.0473705356334688,0.776536932689136,0.0505150627969411,0.0829040110192278,0.0336185164929313,0.910833333333333,56.6184
"D","mcar50","IntegrAO",100,0.431373229396439,0.0583126770950154,0.759047969628843,0.0562287551074667,0.102764448126863,0.0410488945226469,0.755333333333333,53.11974
