"rep","arm","condition","method","sil","nmi","ber","n_used","ess","elapsed","error"
1,"A","complete","IntegrAO",-0.050966967240496,0.0103721545719228,0.67,300,1,143.412,NA
1,"A","mcar30","IntegrAO",-0.0567001445649803,0.0153225045554099,0.706666666666667,300,1,79.561,NA
1,"A","mcar50","IntegrAO",-0.0419361101211611,0.0252684388707181,0.693333333333333,300,1,98.622,NA
1,"A","mar","IntegrAO",-0.0391401968303465,0.0133586087054951,0.773333333333333,300,1,112.721,NA
2,"A","complete","IntegrAO",-0.0629354819291421,0.0145593002947373,0.636666666666667,300,1,129.754,NA
2,"A","mcar30","IntegrAO",-0.0504269476157651,0.0190583329792226,0.646666666666667,300,1,79.717,NA
2,"A","mcar50","IntegrAO",-0.0291797378348995,0.0246131490461605,0.706666666666667,300,1,68.935,NA
2,"A","mar","IntegrAO",-0.0418761633517667,0.00962357829095881,0.733333333333333,300,1,92.718,NA
3,"A","complete","IntegrAO",-0.0313120152031011,0.00462044705522527,0.693333333333333,300,1,145.514,NA
3,"A","mcar30","IntegrAO",-0.0286900498247211,0.00211506379826415,0.71,300,1,73.312,NA
3,"A","mcar50","IntegrAO",-0.0290920934849155,0.00733007660192321,0.763333333333333,300,1,67.673,NA
3,"A","mar","IntegrAO",-0.0396064084533197,0.0188516833621054,0.783333333333333,300,1,81.876,NA
4,"A","complete","IntegrAO",-0.0575786601281139,0.0238312916214746,0.64,300,1,136.39,NA
4,"A","mcar30","IntegrAO",-0.0543338663276339,0.0348664078114484,0.686666666666667,300,1,66.815,NA
4,"A","mcar50","IntegrAO",-0.0497470276966805,0.0163374879967825,0.716666666666667,300,1,100.824,NA
4,"A","mar","IntegrAO",-0.0486357005147506,0.0205851853106267,0.69,300,1,69.13,NA
5,"A","complete","IntegrAO",-0.0521805915808841,0.0131364106117464,0.663333333333333,300,1,135.381,NA
5,"A","mcar30","IntegrAO",-0.0531490937976861,0.0217460238664906,0.676666666666667,300,1,104.69,NA
5,"A","mcar50","IntegrAO",-0.0667695492969048,0.0181556060686423,0.693333333333333,300,1,65.861,NA
5,"A","mar","IntegrAO",-0.0581472404860816,0.0303443508565324,0.716666666666667,300,1,35.941,NA
6,"A","complete","IntegrAO",-0.0565214296139816,0.0181813589501312,0.72,300,1,92.074,NA
6,"A","mcar30","IntegrAO",-0.0382312635142476,0.0135130468460261,0.633333333333333,300,1,92.219,NA
6,"A","mcar50","IntegrAO",-0.0482842422865643,0.0284881906151697,0.63,300,1,87.895,NA
6,"A","mar","IntegrAO",-0.046621730997838,0.0185733010146118,0.633333333333333,300,1,109.631,NA
7,"A","complete","IntegrAO",-0.0378506688661509,0.0137256095142191,0.696666666666667,300,1,98.039,NA
7,"A","mcar30","IntegrAO",-0.0395748622769563,0.0145739690529813,0.763333333333333,300,1,70.994,NA
7,"A","mcar50","IntegrAO",-0.0396552479462875,0.0227550783444818,0.733333333333333,300,1,48.148,NA
7,"A","mar","IntegrAO",-0.0352927434957075,0.0123627499859773,0.696666666666667,300,1,68.787,NA
8,"A","complete","IntegrAO",-0.0491632795479234,0.012199579797803,0.74,300,1,106.728,NA
8,"A","mcar30","IntegrAO",-0.037324337735383,0.0128095386807782,0.75,300,1,72.687,NA
8,"A","mcar50","IntegrAO",-0.0490867976177835,0.0164620169848673,0.72,300,1,62.254,NA
8,"A","mar","IntegrAO",-0.0338521444903709,0.0182172983131721,0.726666666666667,300,1,69.648,NA
9,"A","complete","IntegrAO",-0.0434523490475097,0.00502875368939351,0.7,300,1,113.639,NA
9,"A","mcar30","IntegrAO",-0.0407928578941244,0.0159958719330028,0.746666666666667,300,1,72.653,NA
9,"A","mcar50","IntegrAO",-0.0444168960357347,0.0239549198972007,0.69,300,1,47.503,NA
9,"A","mar","IntegrAO",-0.0376432074822306,0.0364896272805335,0.75,300,1,65.686,NA
10,"A","complete","IntegrAO",-0.0567444607340122,0.0108438046863152,0.646666666666667,300,1,109.321,NA
10,"A","mcar30","IntegrAO",-0.0380310732684016,0.0179298056984272,0.716666666666667,300,1,95.767,NA
10,"A","mcar50","IntegrAO",-0.0359158260750602,0.0182025351993141,0.73,300,1,66.172,NA
10,"A","mar","IntegrAO",-0.0426758665357021,0.0127313646268291,0.663333333333333,300,1,91.311,NA
11,"A","complete","IntegrAO",-0.0385707003108724,0.0101837059023762,0.676666666666667,300,1,92.526,NA
11,"A","mcar30","IntegrAO",-0.0382756215526253,0.0103733384764508,0.733333333333333,300,1,68.974,NA
11,"A","mcar50","IntegrAO",-0.0405923363718181,0.0155525212658381,0.7,300,1,100.675,NA
11,"A","mar","IntegrAO",-0.0433019817372041,0.0393684447097774,0.73,300,1,96.96,NA
12,"A","complete","IntegrAO",-0.0529869855289353,0.0112184366549941,0.67,300,1,146.242,NA
12,"A","mcar30","IntegrAO",-0.0386705018703621,0.011003702489576,0.73,300,1,40.591,NA
12,"A","mcar50","IntegrAO",-0.0324194185657269,0.0142119831206439,0.726666666666667,300,1,65.585,NA
12,"A","mar","IntegrAO",-0.0447217319667047,0.0160801218450027,0.65,300,1,36.567,NA
13,"A","complete","IntegrAO",-0.0512268950544346,0.0156950056429631,0.753333333333333,300,1,90.165,NA
13,"A","mcar30","IntegrAO",-0.0606175526968718,0.0331144799828768,0.726666666666667,300,1,61.149,NA
13,"A","mcar50","IntegrAO",-0.0351548274492836,0.0145293402280006,0.683333333333333,300,1,66.474,NA
13,"A","mar","IntegrAO",-0.0568491362300313,0.0198671410018395,0.753333333333333,300,1,65.433,NA
14,"A","complete","IntegrAO",-0.0560633306287317,0.0111024380757531,0.716666666666667,300,1,82.692,NA
14,"A","mcar30","IntegrAO",-0.0442772470802906,0.0153216503117824,0.706666666666667,300,1,51.414,NA
14,"A","mcar50","IntegrAO",-0.0384610117187361,0.0284194151051972,0.793333333333333,300,1,69.931,NA
14,"A","mar","IntegrAO",-0.0470103981061367,0.0103189701074035,0.706666666666667,300,1,65.546,NA
15,"A","complete","IntegrAO",-0.0415647772371497,0.00734867998117416,0.696666666666667,300,1,85.496,NA
15,"A","mcar30","IntegrAO",-0.032551423119966,0.00968660127761535,0.74,300,1,71.814,NA
15,"A","mcar50","IntegrAO",-0.0344779709220366,0.00805902850433884,0.733333333333333,300,1,57.054,NA
15,"A","mar","IntegrAO",-0.0340155699225833,0.0139808324766155,0.706666666666667,300,1,59.94,NA
16,"A","complete","IntegrAO",-0.0458438593584233,0.0114720969822691,0.703333333333333,300,1,103.979,NA
16,"A","mcar30","IntegrAO",-0.0432681545582229,0.0165756140434433,0.673333333333333,300,1,60.645,NA
16,"A","mcar50","IntegrAO",-0.041192206739705,0.0279118666071533,0.703333333333333,300,1,66.213,NA
16,"A","mar","IntegrAO",-0.0555683843318774,0.0246818500374522,0.66,300,1,62.084,NA
17,"A","complete","IntegrAO",-0.0404126311463423,0.0129486236033148,0.703333333333333,300,1,80.538,NA
17,"A","mcar30","IntegrAO",-0.0344298963889844,0.0209885958818731,0.7,300,1,47.515,NA
17,"A","mcar50","IntegrAO",-0.0310904643436462,0.0208098750758925,0.723333333333333,300,1,94.129,NA
17,"A","mar","IntegrAO",-0.0402106105107802,0.0160882739571608,0.686666666666667,300,1,62.048,NA
18,"A","complete","IntegrAO",-0.0305145967522927,0.013492063441904,0.726666666666667,300,1,87.794,NA
18,"A","mcar30","IntegrAO",-0.0497330006607545,0.00981580459427238,0.733333333333333,300,1,65.184,NA
18,"A","mcar50","IntegrAO",-0.0390732469220242,0.0184778991452216,0.8,300,1,73.286,NA
18,"A","mar","IntegrAO",-0.0382822702639063,0.00704856512173234,0.75,300,1,68.433,NA
19,"A","complete","IntegrAO",-0.0560507014276595,0.0127042900693041,0.71,300,1,88.585,NA
19,"A","mcar30","IntegrAO",-0.0313975452186566,0.0342326747419403,0.673333333333333,300,1,65.88,NA
19,"A","mcar50","IntegrAO",-0.0392554738956969,0.0231657257704232,0.703333333333333,300,1,64.743,NA
19,"A","mar","IntegrAO",-0.0546407618506339,0.0246892521825136,0.716666666666667,300,1,77.524,NA
20,"A","complete","IntegrAO",-0.0476339176468573,0.00920555829456033,0.693333333333333,300,1,110.529,NA
20,"A","mcar30","IntegrAO",-0.0370568479059223,0.0196779648134845,0.723333333333333,300,1,65.249,NA
20,"A","mcar50","IntegrAO",-0.0503451325589379,0.0261833569082874,0.676666666666667,300,1,73.348,NA
20,"A","mar","IntegrAO",-0.0358845473458358,0.0169807014043666,0.76,300,1,67.578,NA
21,"A","complete","IntegrAO",-0.0492429319806925,0.0220229666174073,0.706666666666667,300,1,108.621,NA
21,"A","mcar30","IntegrAO",-0.0566277228955931,0.0246733837607126,0.693333333333333,300,1,79.802,NA
21,"A","mcar50","IntegrAO",-0.0568979115266257,0.0311986215964514,0.716666666666667,300,1,63.371,NA
21,"A","mar","IntegrAO",-0.0477909078253038,0.0339436910279115,0.66,300,1,79.287,NA
22,"A","complete","IntegrAO",-0.0512432124149651,0.0176127303903627,0.656666666666667,300,1,110.395,NA
22,"A","mcar30","IntegrAO",-0.0416835080310001,0.0122688515942544,0.73,300,1,69.821,NA
22,"A","mcar50","IntegrAO",-0.0305169256571874,0.00737378057698638,0.736666666666667,300,1,50.062,NA
22,"A","mar","IntegrAO",-0.0389785904902274,0.0111795523823952,0.713333333333333,300,1,79.88,NA
23,"A","complete","IntegrAO",-0.0496943062079365,0.0145489584302721,0.68,300,1,115.762,NA
23,"A","mcar30","IntegrAO",-0.0427832472921211,0.0202943696532264,0.756666666666667,300,1,71.778,NA
23,"A","mcar50","IntegrAO",-0.0533080928481623,0.0251750881195116,0.78,300,1,58.899,NA
