"arm","condition","method","n_reps","sil_mean","sil_sd","nmi_mean","nmi_sd","ber_mean","ber_sd","ess_mean","elapsed_mean"
"A","complete","IntegrAO",100,-0.0497165543975083,0.0102433286155492,0.0115682692255537,0.00486186471939565,0.7468,0.0270341680134524,1,200.45412
"A","mar","IntegrAO",100,-0.0423343473521706,0.00803068987978432,0.0182873025791984,0.00829409053401777,0.747266666666667,0.0268402598919276,1,162.06088
"A","mcar30","IntegrAO",100,-0.0424904839638572,0.00834710189177803,0.0178576457661757,0.00697205787354465,0.742733333333333,0.0288787083848949,1,158.06607
"A","mcar50","IntegrAO",100,-0.0428105549047778,0.00885941675959328,0.0201052216467499,0.010084202048434,0.744833333333333,0.0265374605523992,1,150.08044
"B","complete","IntegrAO",100,-0.0460200224896962,0.0089639044289098,0.0148975789836439,0.00698692287417816,0.763066666666667,0.0272687913358901,1,237.4545
"B","mar","IntegrAO",100,-0.0508603969445475,0.00764844615117573,0.0160945081860571,0.00745435374172233,0.759066666666667,0.0239719252179127,1,206.63205
"B","mcar30","IntegrAO",100,-0.0410618867412841,0.00778632596904545,0.0154572873807708,0.00685250061504054,0.7597,0.0288309247548916,1,197.08708
"B","mcar50","IntegrAO",100,-0.0403898171070783,0.00667148575737344,0.0157138453944487,0.0067705303070839,0.758833333333333,0.0275745087962331,1,177.88044
"C","complete","IntegrAO",100,0.991064442933118,0.00121406021958484,1,0,0,0,1,208.76912
"C","mar","IntegrAO",100,0.970221256571214,0.0354658718124073,0.998086849403431,0.0191315059656936,0.000233333333333333,0.00172490829958445,1,198.79514
"C","mcar30","IntegrAO",100,0.976091259572739,0.00387756178373346,0.996034043839907,0.0279022273386386,0,0,1,199.20948
"C","mcar50","IntegrAO",100,0.959572947575061,0.00840699284204409,0.995767548480115,0.0279984801898571,0.000733333333333333,0.0046560726310571,1,179.77355
"D","complete","IntegrAO",100,0.529056353081254,0.0726025130832141,0.793038711096063,0.0559894360376663,0.0847333333333333,0.0260155353742352,1,158.78644
"D","mar","IntegrAO",100,0.433205098854004,0.052680117318479,0.760808908989098,0.0459477496040048,0.129433333333333,0.031697415515982,1,148.18227
"D","mcar30","IntegrAO",100,0.461880216115036,0.0548805950665951,0.767294054658527,0.0525726299944774,0.109833333333333,0.0282062907391508,1,146.18964
"D","mcar50","IntegrAO",100,0.431005545001972,0.0509134091370268,0.758688792776048,0.0540368466519092,0.129833333333333,0.0269612308430946,1,143.25102
